Time,RRI,HR
12827,868.908136482939,69.052178798625
12827.5,869.170603674541,69.0313268147146
12828,869.433070866142,69.0104874205293
12828.5,869.695538057743,68.9896606046705
12829,869.958005249344,68.9688463557537
12829.5,870.220472440945,68.948044662408
12830,870.482939632546,68.9272555132759
12830.5,870.745406824147,68.9064788970141
12831,871.007874015748,68.8857148022926
12831.5,871.270341207349,68.8649632177952
12832,871.53280839895,68.8442241322195
12832.5,871.795275590551,68.8234975342763
12833,872.057742782152,68.8027834126903
12833.5,872.320209973753,68.7820817561997
12834,872.582677165354,68.7613925535563
12834.5,872.845144356955,68.7407157935253
12835,873.107611548556,68.7200514648855
12835.5,873.370078740157,68.6993995564291
12836,873.632545931758,68.6787600569619
12836.5,873.895013123359,68.6581329553032
12837,874.15748031496,68.6375182402854
12837.5,874.419947506562,68.6169159007546
12838,874.682414698163,68.5963259255703
12838.5,874.944881889764,68.5757483036052
12839,875.207349081365,68.5551830237454
12839.5,875.469816272966,68.5346300748904
12840,875.732283464567,68.514089445953
12840.5,875.994750656168,68.4935611258592
12841,876.257217847769,68.4730451035483
12841.5,876.51968503937,68.4525413679728
12842,876.782152230971,68.4320499080987
12842.5,877.044619422572,68.4115707129048
12843,877.307086614173,68.3911037713834
12843.5,877.569553805774,68.3706490725399
12844,877.832020997375,68.3502066053927
12844.5,878.094488188976,68.3297763589734
12845,878.356955380577,68.3093583223269
12845.5,878.619422572178,68.288952484511
12846,878.881889763779,68.2685588345966
12846.5,879.14435695538,68.2481773616676
12847,879.406824146982,68.227808054821
12847.5,879.669291338583,68.2074509031669
12848,879.931758530184,68.1871058958282
12848.5,880.194225721785,68.166773021941
12849,880.456692913386,68.1464522706541
12849.5,880.719160104987,68.1261436311294
12850,880.981627296588,68.1058470925417
12850.5,881.244094488189,68.0855626440787
12851,881.50656167979,68.0652902749409
12851.5,881.769028871391,68.0450299743417
12852,882.031496062992,68.0247817315074
12852.5,882.293963254593,68.0045455356771
12853,882.556430446194,67.9843213761026
12853.5,882.818897637795,67.9641092420486
12854,883.081364829396,67.9439091227924
12854.5,883.343832020997,67.9237210076244
12855,883.606299212598,67.9035448858472
12855.5,883.868766404199,67.8833807467766
12856,884.1312335958,67.8632285797408
12856.5,884.393700787401,67.8430883740808
12857,884.656167979002,67.8229601191501
12857.5,884.918635170603,67.802843804315
12858,885.181102362205,67.7827394189543
12858.5,885.443569553806,67.7626469524594
12859,885.706036745407,67.7425663942345
12859.5,885.968503937008,67.722497733696
12860,886.230971128609,67.702440960273
12860.5,886.49343832021,67.6823960634071
